profile_id,profile_name,profile_group,logical_function_id,assigned_hardware,research_only,description
all_npu,All SoC on NPU,stress,LF_Comm_Telemery,SoC_NPU,no,All SoC functions are concentrated on NPU
all_npu,All SoC on NPU,stress,LF_Comm_MCU,SoC_NPU,no,All SoC functions are concentrated on NPU
all_npu,All SoC on NPU,stress,LF_RC_Parser,MCU_GP4,no,Fixed MCU placement remains unchanged
all_npu,All SoC on NPU,stress,LF_INS_Parser,MCU_GP4,no,Fixed MCU placement remains unchanged
all_npu,All SoC on NPU,stress,LF_Flight_Control,MCU_GP2,no,Fixed MCU placement remains unchanged
all_npu,All SoC on NPU,stress,LF_SoC_Adapter,MCU_GP2,no,Fixed MCU placement remains unchanged
all_npu,All SoC on NPU,stress,LF_Motor_Driver,MCU_GP3,no,Fixed MCU placement remains unchanged
all_isp,All SoC on ISP,stress,LF_Perception_Radar,SoC_ISP,no,All SoC functions are concentrated on ISP
all_isp,All SoC on ISP,stress,LF_Perception_Camera,SoC_ISP,no,All SoC functions are concentrated on ISP
all_isp,All SoC on ISP,stress,LF_Path_Planning,SoC_ISP,no,All SoC functions are concentrated on ISP
all_isp,All SoC on ISP,stress,LF_Comm_Telemery,SoC_ISP,no,All SoC functions are concentrated on ISP
all_isp,All SoC on ISP,stress,LF_Comm_MCU,SoC_ISP,no,All SoC functions are concentrated on ISP
all_isp,All SoC on ISP,stress,LF_RC_Parser,MCU_GP4,no,Fixed MCU placement remains unchanged
all_isp,All SoC on ISP,stress,LF_INS_Parser,MCU_GP4,no,Fixed MCU placement remains unchanged
all_isp,All SoC on ISP,stress,LF_Flight_Control,MCU_GP2,no,Fixed MCU placement remains unchanged
all_isp,All SoC on ISP,stress,LF_SoC_Adapter,MCU_GP2,no,Fixed MCU placement remains unchanged
all_isp,All SoC on ISP,stress,LF_Motor_Driver,MCU_GP3,no,Fixed MCU placement remains unchanged
inverted,Inverted Native Placement,study,LF_Perception_Radar,SoC_ISP,no,Radar and camera native placements are inverted for optimizer regression checks
inverted,Inverted Native Placement,study,LF_Perception_Camera,SoC_NPU,no,Radar and camera native placements are inverted for optimizer regression checks
inverted,Inverted Native Placement,study,LF_Path_Planning,SoC_NPU,no,Radar and camera native placements are inverted for optimizer regression checks
inverted,Inverted Native Placement,study,LF_Comm_Telemery,SoC_ISP,no,Radar and camera native placements are inverted for optimizer regression checks
inverted,Inverted Native Placement,study,LF_Comm_MCU,SoC_ISP,no,Radar and camera native placements are inverted for optimizer regression checks
inverted,Inverted Native Placement,study,LF_RC_Parser,MCU_GP4,no,Fixed MCU placement remains unchanged
inverted,Inverted Native Placement,study,LF_INS_Parser,MCU_GP4,no,Fixed MCU placement remains unchanged
inverted,Inverted Native Placement,study,LF_Flight_Control,MCU_GP2,no,Fixed MCU placement remains unchanged
inverted,Inverted Native Placement,study,LF_SoC_Adapter,MCU_GP2,no,Fixed MCU placement remains unchanged
inverted,Inverted Native Placement,study,LF_Motor_Driver,MCU_GP3,no,Fixed MCU placement remains unchanged
all_cpu,All SoC on CPU,stress,LF_Perception_Radar,SoC_CPU,no,All SoC functions are concentrated on CPU for constraint checking
all_cpu,All SoC on CPU,stress,LF_Perception_Camera,SoC_CPU,no,All SoC functions are concentrated on CPU for constraint checking
all_cpu,All SoC on CPU,stress,LF_Path_Planning,SoC_CPU,no,All SoC functions are concentrated on CPU for constraint checking
all_cpu,All SoC on CPU,stress,LF_Comm_Telemery,SoC_CPU,no,All SoC functions are concentrated on CPU for constraint checking
all_cpu,All SoC on CPU,stress,LF_Comm_MCU,SoC_CPU,no,All SoC functions are concentrated on CPU for constraint checking
all_cpu,All SoC on CPU,stress,LF_RC_Parser,MCU_GP4,no,Fixed MCU placement remains unchanged
all_cpu,All SoC on CPU,stress,LF_INS_Parser,MCU_GP4,no,Fixed MCU placement remains unchanged
all_cpu,All SoC on CPU,stress,LF_Flight_Control,MCU_GP2,no,Fixed MCU placement remains unchanged
all_cpu,All SoC on CPU,stress,LF_SoC_Adapter,MCU_GP2,no,Fixed MCU placement remains unchanged
all_cpu,All SoC on CPU,stress,LF_Motor_Driver,MCU_GP3,no,Fixed MCU placement remains unchanged
ima_study,IMA Study Assumption,research,LF_Perception_Radar,SoC_NPU,yes,Research-only virtualized IMA assumption
ima_study,IMA Study Assumption,research,LF_Perception_Camera,SoC_ISP,yes,Research-only virtualized IMA assumption
ima_study,IMA Study Assumption,research,LF_Path_Planning,SoC_CPU,yes,Research-only virtualized IMA assumption
ima_study,IMA Study Assumption,research,LF_Comm_Telemery,SoC_CPU,yes,Research-only virtualized IMA assumption
ima_study,IMA Study Assumption,research,LF_Comm_MCU,SoC_CPU,yes,Research-only virtualized IMA assumption
ima_study,IMA Study Assumption,research,LF_RC_Parser,SoC_CPU,yes,Research-only virtualized IMA assumption with DAL violation
ima_study,IMA Study Assumption,research,LF_INS_Parser,SoC_CPU,yes,Research-only virtualized IMA assumption with DAL violation
ima_study,IMA Study Assumption,research,LF_Flight_Control,MCU_GP1,yes,Research-only virtualized IMA assumption
ima_study,IMA Study Assumption,research,LF_SoC_Adapter,MCU_GP2,yes,Research-only virtualized IMA assumption
ima_study,IMA Study Assumption,research,LF_Motor_Driver,MCU_GP3,yes,Research-only virtualized IMA assumption
